진료년월,요양기관소재지구분,계,서울,부산,인천,대구,광주,대전,울산,경기,강원,충북,충남,전북,전남,경북,경남,제주,세종
2013년 03월,내원일수,"6,945,678","1,374,548","460,146","350,150","334,791","220,395","236,705","189,972","1,687,143","205,893","196,424","309,108","277,682","256,062","330,885","423,466","79,780","12,416"
2013년 04월,환자수,"4,338,749","880,233","283,411","220,107","199,470","140,100","154,108","112,757","1,056,505","132,223","126,450","196,882","173,667","158,488","208,724","269,605","52,040","8,650"
2013년 04월,내원일수,"6,798,057","1,388,164","446,858","345,201","310,928","221,300","235,540","181,398","1,663,381","200,227","187,907","301,075","270,173","241,854","308,660","406,215","76,752","12,402"
2013년 05월,환자수,"3,668,718","751,833","233,185","191,727","163,888","120,747","134,457","92,362","914,474","109,744","104,833","164,073","145,565","132,981","165,412","225,206","43,510","7,283"
2013년 05월,내원일수,"5,713,807","1,178,229","364,524","300,059","252,332","188,486","204,154","147,953","1,424,828","164,918","155,958","248,870","225,735","202,512","242,183","339,354","63,344","10,368"
2013년 06월,환자수,"2,863,947","589,382","171,733","154,296","124,235","89,707","104,922","73,400","740,123","83,310","82,216","127,440","114,532","98,155","126,550","171,383","34,685","5,831"
2013년 06월,내원일수,"4,475,503","926,692","268,235","241,788","191,896","141,521","159,021","117,147","1,155,488","125,452","123,248","193,136","179,316","149,658","186,781","257,377","50,403","8,344"
2013년 07월,환자수,"2,631,503","549,627","157,056","138,127","116,629","82,049","94,746","68,916","683,977","76,050","78,006","113,017","103,391","89,131","121,352","153,522","31,150","5,499"
2013년 07월,내원일수,"4,126,069","861,146","246,864","216,288","179,365","130,490","144,018","110,192","1,069,202","113,130","117,150","171,929","163,128","138,473","179,375","231,686","45,458","8,175"
2013년 08월,환자수,"2,584,208","539,384","160,850","136,777","113,297","79,755","91,288","67,090","670,416","76,592","75,355","111,260","100,488","89,387","115,699","153,817","33,280","5,011"
2013년 08월,내원일수,"3,986,202","827,217","248,499","209,525","174,045","125,525","135,008","105,792","1,028,523","111,518","109,636","164,932","155,332","136,289","168,564","230,094","48,564","7,139"
2013년 09월,환자수,"3,707,552","743,187","230,889","195,275","173,621","117,420","139,164","95,287","958,871","102,231","114,445","162,418","148,656","123,537","171,005","226,497","38,822","7,398"
2013년 09월,내원일수,"5,716,152","1,143,301","355,937","299,769","266,591","180,190","208,448","149,987","1,486,268","150,448","167,835","242,264","228,832","184,122","248,354","337,502","55,725","10,579"
2013년 10월,환자수,"3,952,311","788,971","264,207","205,410","186,426","119,313","139,242","106,868","975,356","114,056","116,930","169,870","157,124","134,844","192,985","257,482","46,980","7,882"
2013년 10월,내원일수,"6,109,508","1,228,909","409,518","317,750","286,844","183,871","210,546","167,548","1,518,123","172,857","170,540","254,533","241,524","200,323","281,362","385,498","68,433","11,329"
2013년 11월,환자수,"4,058,910","820,800","275,642","209,800","190,195","122,589","145,348","108,567","991,930","113,336","114,193","171,623","163,313","141,618","196,689","267,712","50,057","7,760"
2013년 11월,내원일수,"6,332,739","1,289,270","434,109","329,067","297,583","190,273","221,637","172,297","1,558,382","172,710","166,254","259,610","252,373","210,752","289,451","404,751","73,287","10,933"
2013년 12월,환자수,"3,824,960","768,340","271,988","191,683","178,143","119,709","127,274","104,467","912,136","104,127","104,826","159,259","164,598","145,317","187,067","263,735","46,281","6,957"
2013년 12월,내원일수,"5,881,520","1,193,214","419,423","291,846","272,202","185,033","190,021","162,817","1,412,992","155,679","152,219","236,368","253,085","217,211","271,422","390,778","67,397","9,660"
2014년 01월,환자수,"4,294,995","880,954","298,012","219,085","195,298","139,169","141,983","116,373","1,017,226","118,002","118,413","178,062","184,893","164,385","217,284","283,719","57,148","7,929"
2014년 01월,내원일수,"6,517,661","1,340,441","456,622","326,164","295,080","211,509","209,549","178,971","1,539,810","172,902","170,933","261,105","285,667","244,479","312,091","416,893","84,486","10,959"
2014년 02월,환자수,"5,001,125","1,006,375","303,149","266,946","233,373","154,339","180,179","118,420","1,235,669","138,141","158,662","228,564","200,002","177,432","258,892","321,572","55,468","9,975"
2014년 02월,내원일수,"7,603,468","1,541,117","463,248","402,596","353,216","230,646","269,207","179,372","1,882,568","201,848","230,361","339,827","305,316","263,404","373,393","473,162","80,455","13,732"
2014년 03월,환자수,"4,236,963","841,457","286,765","209,513","193,241","130,780","149,730","114,345","1,033,492","128,633","122,337","186,930","167,870","152,314","216,633","278,302","50,089","8,549"
2014년 03월,내원일수,"6,571,542","1,309,632","449,482","321,537","297,421","203,537","226,264","183,797","1,612,743","194,856","179,098","280,478","258,516","229,370","320,401","418,165","74,153","12,092"
2014년 04월,환자수,"4,086,282","825,264","278,962","206,088","192,899","128,505","140,016","118,552","999,120","116,882","110,280","169,486","158,050","139,965","207,739","273,437","45,821","8,597"
2014년 04월,내원일수,"6,474,353","1,319,979","444,686","324,881","302,096","202,330","214,773","193,529","1,598,279","179,477","164,963","259,912","248,347","211,517","311,806","417,150","67,713","12,915"
2014년 05월,환자수,"3,532,068","712,811","234,816","180,595","157,185","114,678","122,845","97,389","878,813","102,472","96,675","151,758","143,193","125,197","172,990","226,931","41,745","7,971"
2014년 05월,내원일수,"5,484,534","1,111,867","366,294","276,677","241,395","177,866","183,893","156,749","1,366,883","154,200","142,551","227,838","220,825","188,589","254,598","341,579","60,760","11,970"
2014년 06월,환자수,"2,740,955","562,174","178,229","143,487","118,666","87,648","94,773","76,592","700,970","76,787","73,616","115,278","107,254","91,950","128,425","172,006","32,634","6,310"
2014년 06월,내원일수,"4,223,784","873,742","276,261","218,876","180,722","134,223","140,138","120,922","1,085,461","115,004","107,190","171,719","163,721","137,081","187,046","255,506","46,588","9,584"
2014년 07월,환자수,"2,760,550","576,880","172,128","142,111","119,590","88,597","95,946","77,315","715,335","75,719","74,903","115,446","109,660","89,046","124,381","174,031","32,767","6,468"
2014년 07월,내원일수,"4,262,273","895,242","264,415","217,607","181,951","137,667","142,067","120,677","1,108,528","112,118","109,091","172,115","170,716","133,032","180,341","260,289","46,808","9,609"
2014년 08월,환자수,"2,555,182","529,900","157,906","134,092","111,677","82,581","94,721","63,450","659,069","74,227","71,865","110,051","104,641","82,475","116,706","152,515","32,739","6,623"
