진료년월,요양기관소재지구분,계,서울,부산,인천,대구,광주,대전,울산,경기,강원,충북,충남,전북,전남,경북,경남,제주,세종
2016년 02월,환자수,"4,266,248","831,998","293,725","199,725","201,176","137,333","137,251","116,227","1,012,077","127,678","127,093","181,440","173,517","167,708","230,075","305,724","51,170","17,288"
2016년 02월,내원일수,"6,345,766","1,238,157","441,013","291,294","294,735","202,384","197,259","176,903","1,503,626","185,955","180,678","260,346","259,243","247,215","327,139","441,141","72,954","25,724"
2016년 03월,환자수,"4,191,659","835,507","267,751","207,123","178,692","132,895","138,974","113,682","1,049,698","123,831","118,806","179,053","169,565","154,280","207,049","271,051","55,065","19,620"
2016년 03월,내원일수,"6,506,018","1,304,547","415,874","316,224","270,656","207,047","208,192","179,869","1,647,879","190,011","175,982","267,535","263,818","234,689","303,346","407,651","81,486","31,212"
2016년 04월,환자수,"3,849,838","806,268","252,824","192,601","167,673","122,140","125,475","101,791","966,614","111,755","104,066","158,723","149,893","133,196","180,484","246,668","44,323","17,164"
2016년 04월,내원일수,"5,944,208","1,256,016","393,190","292,551","255,166","189,567","185,874","161,316","1,499,712","171,013","153,562","234,413","229,686","200,291","262,086","367,637","65,089","27,039"
2016년 05월,환자수,"3,355,424","689,286","216,391","171,259","148,195","108,598","110,952","87,329","842,586","99,537","93,523","139,037","134,183","120,569","157,010","213,103","41,459","15,232"
2016년 05월,내원일수,"5,137,205","1,055,367","335,553","257,969","224,936","169,238","162,680","136,461","1,289,900","150,499","137,783","203,584","204,198","182,118","226,333","316,011","60,424","24,151"
2016년 06월,환자수,"2,762,572","566,964","173,206","145,123","117,486","92,620","92,696","69,571","710,746","76,201","75,517","115,187","111,789","96,331","122,499","171,483","35,747","13,401"
2016년 06월,내원일수,"4,192,655","859,530","266,710","217,328","175,555","145,611","135,187","105,984","1,078,598","113,225","109,570","166,998","172,009","145,919","173,941","253,898","51,489","21,103"
2016년 07월,환자수,"2,569,211","522,235","163,195","130,693","111,772","78,960","88,964","67,946","681,743","71,630","72,306","104,967","100,262","82,860","114,974","158,048","31,983","13,005"
2016년 07월,내원일수,"3,905,658","790,231","251,749","196,039","168,886","120,517","129,114","106,340","1,033,325","106,216","105,719","152,550","155,798","124,145","163,900","235,246","45,548","20,335"
2016년 08월,환자수,"2,445,491","493,918","155,474","125,425","104,630","77,374","83,226","61,705","638,565","72,473","68,901","102,836","98,780","83,469","108,929","153,327","32,068","12,200"
2016년 08월,내원일수,"3,612,529","723,903","232,737","180,682","153,967","116,307","117,506","92,286","936,892","105,497","97,282","145,431","148,707","125,645","150,812","220,720","45,640","18,515"
2016년 09월,환자수,"3,092,436","605,268","199,648","153,597","138,007","101,640","109,003","78,777","800,732","90,462","89,009","133,096","124,119","104,062","142,854","200,505","34,681","15,369"
2016년 09월,내원일수,"4,562,187","889,987","296,155","222,608","202,292","152,044","154,397","116,408","1,183,408","132,166","127,398","189,246","184,920","151,272","199,285","287,457","49,274","23,299"
2016년 10월,환자수,"3,548,664","687,168","231,148","177,984","166,571","115,199","122,585","90,713","902,649","100,986","100,582","154,864","144,750","122,003","170,340","229,114","42,302","16,188"
2016년 10월,내원일수,"5,351,240","1,041,252","349,395","265,793","249,107","175,523","178,340","137,290","1,373,609","151,783","145,367","223,760","219,444","180,365","240,958","333,910","61,071","24,273"
2016년 11월,환자수,"3,888,766","756,582","248,563","196,150","172,551","122,853","132,707","97,636","1,012,237","110,910","107,749","165,257","159,939","135,977","184,640","248,478","47,431","17,003"
2016년 11월,내원일수,"5,899,579","1,152,879","380,018","295,074","260,305","186,999","193,836","150,509","1,546,897","168,158","157,717","239,501","241,616","202,770","263,224","365,958","68,816","25,302"
2016년 12월,환자수,"5,119,521","1,046,890","303,524","270,672","221,561","159,377","178,825","122,723","1,346,094","148,747","145,601","223,739","199,722","171,831","234,224","306,709","59,615","21,902"
2016년 12월,내원일수,"7,764,947","1,599,709","462,601","408,462","332,392","241,277","262,411","187,336","2,048,650","224,575","213,367","325,464","300,290","254,078","334,782","450,855","86,231","32,404"
2017년 01월,환자수,"3,500,465","672,480","245,045","167,364","156,278","118,337","117,006","97,320","831,540","103,866","97,728","151,103","141,529","140,430","181,182","246,131","48,520","14,583"
2017년 01월,내원일수,"5,134,086","986,842","366,111","240,296","229,104","175,198","166,259","143,601","1,215,011","150,559","137,090","212,652","207,652","206,728","252,785","353,477","69,966","20,755"
2017년 02월,환자수,"3,067,205","600,911","206,542","150,186","139,746","100,466","100,999","80,823","750,974","89,288","85,231","133,575","125,804","114,640","153,370","205,311","38,794","12,804"
2017년 02월,내원일수,"4,547,514","891,392","309,770","219,876","207,451","151,448","144,469","120,997","1,117,906","130,762","121,781","190,871","185,856","168,800","214,931","297,030","55,598","18,576"
2017년 03월,환자수,"3,870,723","759,129","256,656","196,656","166,632","132,242","129,138","95,550","984,889","110,756","102,626","170,137","159,297","141,347","181,769","243,632","50,083","17,400"
2017년 03월,내원일수,"5,892,104","1,154,162","394,987","297,533","252,880","203,805","189,347","147,997","1,510,284","166,320","149,674","249,625","244,685","210,861","259,377","360,789","74,229","25,549"
2017년 04월,환자수,"3,950,871","776,962","263,844","198,456","179,269","146,521","134,379","96,807","988,128","113,377","105,353","169,255","162,027","144,500","184,856","253,878","47,878","16,711"
2017년 04월,내원일수,"6,019,310","1,188,261","405,300","301,204","271,252","224,576","196,572","149,810","1,513,991","170,343","154,742","249,120","244,890","216,279","264,297","374,331","69,766","24,576"
2017년 05월,환자수,"3,349,096","647,032","226,104","171,816","152,367","115,617","114,108","85,035","845,110","97,642","89,748","145,123","136,713","124,299","158,283","215,755","44,095","14,232"
2017년 05월,내원일수,"5,050,360","969,121","345,024","257,413","229,909","178,059","165,766","130,956","1,270,896","143,493","131,086","212,207","205,556","185,806","225,306","315,484","63,878","20,400"
2017년 06월,환자수,"2,737,412","531,166","180,195","140,292","118,371","88,797","92,840","72,625","708,450","78,486","75,818","118,563","109,312","91,541","126,427","177,379","35,298","13,537"
2017년 06월,내원일수,"4,165,468","804,951","276,213","210,825","179,024","138,273","135,946","113,189","1,082,492","116,432","112,399","174,718","166,534","137,294","181,154","264,518","50,990","20,516"
